collection	filename	sha256	bytes	source
norms	가상자산 이용자 보호 등에 관한 법률.txt	7c7b1870876d9c69	32354	https://www.law.go.kr/법령/가상자산이용자보호법
norms	가상자산업감독규정.txt	ab7eeb3c5d7d7056	9590	https://www.law.go.kr/행정규칙/가상자산업감독규정
norms	개인정보 보호법.txt	e305660c740e6d39	195789	https://www.law.go.kr/법령/개인정보보호법
norms	개인정보의 안전성 확보조치 기준.txt	f0ea3257e431eb1c	30726	https://www.law.go.kr/행정규칙/개인정보의안전성확보조치기준
norms	공중 등 협박목적 및 대량살상무기확산을 위한 자금조달행위의 금지에 관한 법률.txt	9e1fd2299febda60	28919	https://www.law.go.kr/법령/공중등협박목적및대량살상무기확산을위한자금조달행위의금지에관한법률
norms	규범목록.md	34345fd95445852b	19224	https://www.law.go.kr/법령/자본시장과금융투자업에관한법률
norms	규제변경_모니터링.md	9e32d470cbbf83cd	1610	law.go.kr 국가법령정보센터 (법령/행정규칙)
norms	금융분야_마이데이터_기술_가이드라인.txt	4cd3b918251f41ad	161787	law.go.kr 국가법령정보센터 (법령/행정규칙)
norms	금융분야_마이데이터_서비스_가이드라인.txt	f26f1a892dc4f5c1	148863	law.go.kr 국가법령정보센터 (법령/행정규칙)
norms	금융분야_인공지능_가이드라인.txt	653db770660b74fe	180910	law.go.kr 국가법령정보센터 (법령/행정규칙)
norms	금융소비자 보호에 관한 감독규정.txt	7356c0945dd4c582	232069	https://www.law.go.kr/행정규칙/금융소비자보호에관한감독규정
norms	금융소비자 보호에 관한 법률 시행령.txt	46be05e98725e3f0	158698	https://www.law.go.kr/법령/금융소비자보호에관한법률시행령
norms	금융소비자 보호에 관한 법률.txt	1960f969fc1e9fff	146245	https://www.law.go.kr/법령/금융소비자보호에관한법률
norms	금융실명거래 및 비밀보장에 관한 법률.txt	4f27e6ebfebafd8f	59158	https://www.law.go.kr/법령/금융실명거래및비밀보장에관한법률
norms	금융투자업규정.txt	13da3837ac8d80a6	1564530	https://www.law.go.kr/행정규칙/금융투자업규정
norms	금융투자업규정시행세칙.txt	ff58b9205023c28f	1979513	https://www.law.go.kr/행정규칙/금융투자업규정시행세칙
norms	금융투자회사 표준내부통제기준.txt	03faf233373a6fa3	136288	https://www.bnpparibas.co.kr/app/uploads/sites/28/2024/09/cod-029-internal-control-standar
norms	금융투자회사의 금융사고 방지를 위한 모범규준.txt	3b0a8194a14a98ab	24929	https://law.kofia.or.kr/service/law/lawFullScreenContent.do?seq=156&historySeq=451
norms	금융투자회사의 리스크관리 모범규준.txt	25207df052093124	102233	https://law.kofia.or.kr/service/law/lawFullScreenContent.do?seq=155&historySeq=1682
norms	금융투자회사의 약관운용에 관한 규정.txt	d0aab258189f58a0	10033	https://law.kofia.or.kr/service/law/lawFullScreenContent.do?seq=141&historySeq=1334
norms	금융투자회사의 영업 및 업무에 관한 규정 시행세칙.txt	7feee5b204b91c29	82396	https://law.kofia.or.kr/service/law/lawFullScreenContent.do?seq=137&historySeq=1671
norms	금융투자회사의 영업 및 업무에 관한 규정.txt	0bd7a5794245b905	333776	https://law.kofia.or.kr/service/law/lawFullScreenContent.do?seq=136&historySeq=1798
norms	금융투자회사의 표준윤리준칙.txt	39996fd8a725700b	13067	https://law.kofia.or.kr/service/law/lawFullScreenContent.do?seq=154&historySeq=449
norms	금융혁신지원 특별법.txt	e047cd4850ef12bd	48722	https://www.law.go.kr/법령/금융혁신지원특별법
norms	금융회사의 정보처리 업무 위탁에 관한 규정.txt	a871cc10ce9907b1	16552	https://www.law.go.kr/행정규칙/금융회사의정보처리업무위탁에관한규정
norms	금융회사의 지배구조에 관한 법률.txt	7417fe2c933c6478	131271	https://www.law.go.kr/법령/금융회사의지배구조에관한법률
norms	단계별_체크리스트.md	179e145e7af2bdcd	1272	law.go.kr 국가법령정보센터 (법령/행정규칙)
norms	신용정보업감독규정.txt	03e033b9801e31ed	450182	https://www.law.go.kr/행정규칙/신용정보업감독규정
norms	신용정보의 이용 및 보호에 관한 법률.txt	a7744ffd1114a452	219927	https://www.law.go.kr/법령/신용정보의이용및보호에관한법률
norms	약관의 규제에 관한 법률.txt	8c7595c93090f598	42313	https://www.law.go.kr/법령/약관의규제에관한법률
norms	인공지능 발전과 신뢰 기반 조성 등에 관한 기본법.txt	7c39eac59b136ccf	78814	https://www.law.go.kr/법령/인공지능발전과신뢰기반조성등에관한기본법
norms	자금세탁방지 및 공중협박자금조달금지에 관한 업무규정.txt	7ee064cc6a75deb5	102427	https://www.law.go.kr/행정규칙/자금세탁방지및공중협박자금조달금지에관한업무규정
norms	자본시장과 금융투자업에 관한 법률 시행규칙.txt	b21d49ea87decd78	61430	https://www.law.go.kr/법령/자본시장과금융투자업에관한법률시행규칙
norms	자본시장과 금융투자업에 관한 법률 시행령.txt	3704798424e4a671	1667829	https://www.law.go.kr/법령/자본시장과금융투자업에관한법률시행령
norms	자본시장과 금융투자업에 관한 법률.txt	f628b787ce305f32	1357772	https://www.law.go.kr/법령/자본시장과금융투자업에관한법률
norms	전자금융감독규정.txt	aed52f3b9a5a6a4f	267364	https://www.law.go.kr/행정규칙/전자금융감독규정
norms	전자금융감독규정시행세칙.txt	c265381c7e3c801a	131034	https://www.law.go.kr/행정규칙/전자금융감독규정시행세칙
norms	전자금융거래 이용에 관한 기본약관.txt	ed3d3cdc76329c5f	29739	https://www.hmsec.com/documents/atic/%EC%A0%84%EC%9E%90%EA%B8%88%EC%9C%B5%EA%B1%B0%EB%9E%9
norms	전자금융거래법 시행령.txt	5792c5f575ca4fc7	160144	https://www.law.go.kr/법령/전자금융거래법시행령
